open_time,open,high,low,close
2026-06-24T05:10:00+00:00,806.46,807.31,806.46,807.31
2026-06-24T05:15:00+00:00,807.31,808.39,803.58,803.58
2026-06-24T05:20:00+00:00,803.58,806.33,802.08,806.33
2026-06-24T05:25:00+00:00,806.33,806.58,803.56,805.06
2026-06-24T05:30:00+00:00,805.06,810.45,804.03,810.03
2026-06-24T05:35:00+00:00,810.03,812.12,808.35,809.01
2026-06-24T05:40:00+00:00,808.99,810.95,807.77,807.87
2026-06-24T05:45:00+00:00,807.84,809.08,805.87,806.5
2026-06-24T05:50:00+00:00,806.5,806.57,803.43,803.95
2026-06-24T05:55:00+00:00,804.17,805.65,799.35,800.93
2026-06-24T06:00:00+00:00,800.93,801.65,799.4,799.4
2026-06-24T06:05:00+00:00,799.93,801.47,799.13,800.7
2026-06-24T06:10:00+00:00,800.53,801.61,798.65,799.66
2026-06-24T06:15:00+00:00,799.66,799.97,796.57,796.68
2026-06-24T06:20:00+00:00,796.75,799.73,796.31,798.62
2026-06-24T06:25:00+00:00,798.63,799.31,794.85,795.29
2026-06-24T06:30:00+00:00,795.29,796.16,791.74,793.99
2026-06-24T06:35:00+00:00,793.99,794.9,790.74,793.09
2026-06-24T06:40:00+00:00,793.52,793.83,791.82,792.81
2026-06-24T06:45:00+00:00,792.66,795.22,792.66,794.94
2026-06-24T06:50:00+00:00,794.94,797.03,794.03,796.68
2026-06-24T06:55:00+00:00,796.68,797.57,794.63,795.07
2026-06-24T07:00:00+00:00,795.07,797.5,791.21,792.76
2026-06-24T07:05:00+00:00,792.87,792.92,787.73,790.07
2026-06-24T07:10:00+00:00,790.07,792.83,788.56,789.94
2026-06-24T07:15:00+00:00,789.94,790.98,785.73,785.73
2026-06-24T07:20:00+00:00,785.73,789.22,785.56,787.06
2026-06-24T07:25:00+00:00,787.06,788.12,784.97,785.0
2026-06-24T07:30:00+00:00,784.71,789.36,784.65,788.09
2026-06-24T07:35:00+00:00,788.0,789.56,787.57,789.23
2026-06-24T07:40:00+00:00,789.23,790.2,782.73,782.74
2026-06-24T07:45:00+00:00,782.89,784.58,781.96,783.85
2026-06-24T07:50:00+00:00,783.85,788.23,783.61,788.19
2026-06-24T07:55:00+00:00,788.19,790.03,786.34,786.34
2026-06-24T08:00:00+00:00,786.34,787.94,784.08,787.94
2026-06-24T08:05:00+00:00,788.15,788.8,786.5,786.91
2026-06-24T08:10:00+00:00,786.91,788.14,786.6,788.14
2026-06-24T08:15:00+00:00,788.14,789.61,786.71,787.63
2026-06-24T08:20:00+00:00,787.71,790.62,787.24,787.82
2026-06-24T08:25:00+00:00,787.64,790.55,787.64,788.22
2026-06-24T08:30:00+00:00,788.03,790.08,785.36,785.36
2026-06-24T08:35:00+00:00,785.43,786.44,783.52,783.73
2026-06-24T08:40:00+00:00,783.73,786.66,783.57,786.35
2026-06-24T08:45:00+00:00,786.39,786.39,782.93,784.51
2026-06-24T08:50:00+00:00,784.51,785.33,782.99,785.25
2026-06-24T08:55:00+00:00,785.09,786.18,782.87,783.75
2026-06-24T09:00:00+00:00,784.04,786.21,783.09,786.21
2026-06-24T09:05:00+00:00,786.21,787.25,783.09,783.09
2026-06-24T09:10:00+00:00,783.09,783.69,780.71,783.6
2026-06-24T09:15:00+00:00,783.6,784.33,778.94,779.8
2026-06-24T09:20:00+00:00,779.8,781.91,778.69,781.4
2026-06-24T09:25:00+00:00,781.18,782.11,780.14,780.83
2026-06-24T09:30:00+00:00,780.79,781.23,777.86,779.1
2026-06-24T09:35:00+00:00,779.1,780.53,778.12,779.36
2026-06-24T09:40:00+00:00,779.36,782.47,779.36,781.81
2026-06-24T09:45:00+00:00,781.81,783.83,781.22,782.61
