open_time,open,high,low,close
2026-06-24T05:10:00+00:00,357.2,357.43,356.35,356.35
2026-06-24T05:15:00+00:00,356.35,356.98,356.04,356.68
2026-06-24T05:20:00+00:00,356.68,357.87,356.68,357.58
2026-06-24T05:25:00+00:00,357.44,357.44,356.18,356.98
2026-06-24T05:30:00+00:00,356.99,357.33,356.39,356.4
2026-06-24T05:35:00+00:00,356.32,356.98,355.27,356.95
2026-06-24T05:40:00+00:00,357.12,357.65,356.06,357.65
2026-06-24T05:45:00+00:00,357.79,359.01,357.74,358.3
2026-06-24T05:50:00+00:00,358.38,361.54,358.38,360.85
2026-06-24T05:55:00+00:00,360.76,361.19,360.26,361.0
2026-06-24T06:00:00+00:00,361.0,361.65,360.77,361.0
2026-06-24T06:05:00+00:00,361.02,362.03,360.85,361.64
2026-06-24T06:10:00+00:00,361.64,362.83,361.64,362.44
2026-06-24T06:15:00+00:00,362.44,363.71,362.14,363.34
2026-06-24T06:20:00+00:00,363.34,363.5,361.81,361.81
2026-06-24T06:25:00+00:00,361.81,363.7,361.74,363.66
2026-06-24T06:30:00+00:00,363.63,363.69,361.21,361.74
2026-06-24T06:35:00+00:00,361.65,362.36,360.95,361.26
2026-06-24T06:40:00+00:00,361.21,361.24,359.92,360.95
2026-06-24T06:45:00+00:00,360.95,362.51,360.66,361.6
2026-06-24T06:50:00+00:00,361.45,361.54,360.25,360.25
2026-06-24T06:55:00+00:00,360.03,360.11,358.57,359.47
2026-06-24T07:00:00+00:00,359.55,359.56,358.2,358.39
2026-06-24T07:05:00+00:00,358.39,358.8,357.57,357.73
2026-06-24T07:10:00+00:00,357.82,359.25,357.53,358.99
2026-06-24T07:15:00+00:00,358.99,360.23,358.96,359.44
2026-06-24T07:20:00+00:00,359.44,360.08,359.01,359.12
2026-06-24T07:25:00+00:00,359.12,360.54,358.85,360.26
2026-06-24T07:30:00+00:00,360.28,361.73,360.21,361.73
2026-06-24T07:35:00+00:00,361.66,362.19,361.11,361.3
2026-06-24T07:40:00+00:00,361.21,361.31,359.9,360.45
2026-06-24T07:45:00+00:00,360.48,361.54,360.31,361.07
2026-06-24T07:50:00+00:00,361.07,361.09,359.61,359.61
2026-06-24T07:55:00+00:00,359.61,359.7,358.79,358.92
2026-06-24T08:00:00+00:00,358.92,359.51,358.03,358.03
2026-06-24T08:05:00+00:00,358.03,359.09,357.69,358.23
2026-06-24T08:10:00+00:00,358.33,358.58,357.08,357.15
2026-06-24T08:15:00+00:00,357.15,358.14,357.03,357.51
2026-06-24T08:20:00+00:00,357.51,357.51,356.79,357.23
2026-06-24T08:25:00+00:00,357.01,358.18,356.59,357.44
2026-06-24T08:30:00+00:00,357.44,358.28,357.17,358.1
2026-06-24T08:35:00+00:00,358.15,358.61,357.55,357.82
2026-06-24T08:40:00+00:00,357.74,358.46,357.24,357.43
2026-06-24T08:45:00+00:00,357.43,359.74,357.18,359.3
2026-06-24T08:50:00+00:00,359.3,360.91,359.12,360.75
2026-06-24T08:55:00+00:00,360.75,360.75,359.24,360.1
2026-06-24T09:00:00+00:00,360.16,360.38,358.98,359.3
2026-06-24T09:05:00+00:00,359.3,360.39,359.02,359.77
2026-06-24T09:10:00+00:00,359.72,359.8,357.94,358.01
2026-06-24T09:15:00+00:00,357.95,358.78,357.86,358.4
2026-06-24T09:20:00+00:00,358.4,359.5,357.84,359.3
2026-06-24T09:25:00+00:00,359.34,361.51,359.34,361.51
2026-06-24T09:30:00+00:00,361.44,361.52,359.76,360.63
2026-06-24T09:35:00+00:00,360.72,361.94,360.25,361.81
2026-06-24T09:40:00+00:00,361.93,361.93,360.53,361.57
2026-06-24T09:45:00+00:00,361.65,361.71,359.35,359.59
2026-06-24T09:50:00+00:00,359.59,359.98,358.81,359.34
2026-06-24T09:55:00+00:00,359.34,359.34,357.16,357.46
2026-06-24T10:00:00+00:00,357.57,358.16,357.0,357.48
2026-06-24T10:05:00+00:00,357.55,358.0,357.15,357.33
2026-06-24T10:10:00+00:00,357.2,357.25,356.28,356.52
2026-06-24T10:15:00+00:00,356.52,357.57,356.38,356.51
2026-06-24T10:20:00+00:00,356.75,357.52,356.57,356.65
2026-06-24T10:25:00+00:00,356.65,356.75,355.65,355.84
2026-06-24T10:30:00+00:00,355.8,355.97,353.11,353.17
2026-06-24T10:35:00+00:00,353.17,353.66,352.35,353.66
2026-06-24T10:40:00+00:00,353.82,353.96,352.93,353.47
2026-06-24T10:45:00+00:00,353.47,353.8,352.51,352.71
2026-06-24T10:50:00+00:00,352.8,352.82,350.88,351.24
2026-06-24T10:55:00+00:00,351.24,351.48,350.14,350.6
2026-06-24T11:00:00+00:00,350.6,351.1,349.38,349.98
2026-06-24T11:05:00+00:00,349.98,349.98,348.49,348.49
2026-06-24T11:10:00+00:00,348.42,348.48,347.32,347.32
2026-06-24T11:15:00+00:00,347.14,348.64,346.56,348.55
2026-06-24T11:20:00+00:00,348.52,349.08,347.13,347.26
2026-06-24T11:25:00+00:00,347.3,347.3,346.24,346.92
2026-06-24T11:30:00+00:00,346.92,347.84,345.83,346.92
2026-06-24T11:35:00+00:00,346.92,346.92,343.88,343.88
2026-06-24T11:40:00+00:00,343.88,344.85,343.81,344.43
2026-06-24T11:45:00+00:00,344.42,344.54,342.59,343.26
2026-06-24T11:50:00+00:00,343.47,344.59,343.13,344.52
