open_time,open,high,low,close
2026-06-21T22:25:00+00:00,853604.9,854755.72,853494.23,854166.23
2026-06-21T22:30:00+00:00,854133.08,854681.49,854043.43,854362.28
2026-06-21T22:35:00+00:00,854362.64,855510.86,854169.87,855268.12
2026-06-21T22:40:00+00:00,855220.01,855619.87,854963.56,855052.38
2026-06-21T22:45:00+00:00,855027.75,855289.84,854315.24,854525.27
2026-06-21T22:50:00+00:00,854478.69,854888.35,854327.13,854621.54
2026-06-21T22:55:00+00:00,854597.24,854908.57,854143.82,854192.54
2026-06-21T23:00:00+00:00,854173.31,854806.97,853758.06,854614.49
2026-06-21T23:05:00+00:00,854651.06,855325.82,854582.2,855308.4
2026-06-21T23:10:00+00:00,855272.99,855281.33,854542.56,854849.17
2026-06-21T23:15:00+00:00,854878.91,855693.3,854475.17,855241.68
2026-06-21T23:20:00+00:00,855285.24,855587.54,854714.58,854729.84
2026-06-21T23:25:00+00:00,854697.64,855806.76,854562.39,855429.73
2026-06-21T23:30:00+00:00,855409.35,855666.55,854061.88,854150.96
2026-06-21T23:35:00+00:00,854163.88,854754.31,853612.57,854201.56
2026-06-21T23:40:00+00:00,854283.53,855224.08,853991.92,854769.04
2026-06-21T23:45:00+00:00,854834.65,855182.46,854691.39,854931.85
2026-06-21T23:50:00+00:00,854903.07,855159.34,854021.45,854552.24
2026-06-21T23:55:00+00:00,854534.76,855147.23,854287.9,854968.12
2026-06-22T00:00:00+00:00,854974.76,855023.03,853068.41,853284.69
2026-06-22T00:05:00+00:00,853276.77,854466.79,853223.79,854372.6
2026-06-22T00:10:00+00:00,854365.31,855150.57,854365.31,854898.83
2026-06-22T00:15:00+00:00,854919.12,855188.23,854218.06,854438.07
2026-06-22T00:20:00+00:00,854434.66,854552.52,853765.29,853774.15
2026-06-22T00:25:00+00:00,853782.96,854209.3,853484.18,853943.08
2026-06-22T00:30:00+00:00,853938.34,854083.16,853205.76,853509.99
2026-06-22T00:35:00+00:00,853505.29,853726.81,852912.15,853062.62
2026-06-22T00:40:00+00:00,853128,853618.39,852518.45,852971.88
2026-06-22T00:45:00+00:00,852975.97,853178.44,852425.32,852992.15
2026-06-22T00:50:00+00:00,852987.56,853577.73,852662.8,853426.94
2026-06-22T00:55:00+00:00,853427.14,854333.19,853106.6,853961.88
2026-06-22T01:00:00+00:00,853999.92,855437.58,853840.89,855138.27
2026-06-22T01:05:00+00:00,855123.13,855410.48,854544.35,855336.84
2026-06-22T01:10:00+00:00,855298.57,855705.51,854916.59,855369.28
2026-06-22T01:15:00+00:00,855344.53,855458,854578.66,855052.9
2026-06-22T01:20:00+00:00,855060.33,855117.52,854090.13,854240.93
2026-06-22T01:25:00+00:00,854167.48,854784.51,853668.72,853966.33
2026-06-22T01:30:00+00:00,853949.24,854183.4,852924.58,852924.58
2026-06-22T01:35:00+00:00,852979.34,853425.55,852748.95,853092.87
2026-06-22T01:40:00+00:00,853104.83,853223.76,852754.67,852854.72
2026-06-22T01:45:00+00:00,852811.9,853076.98,851891.6,851943.54
2026-06-22T01:50:00+00:00,851872.07,852587.44,851326.56,851365.11
2026-06-22T01:55:00+00:00,851361.55,852105.12,851313.33,851852.54
2026-06-22T02:00:00+00:00,851855.91,852420.61,851804.69,852064.29
2026-06-22T02:05:00+00:00,852060.17,852440.13,851494.87,851989.19
2026-06-22T02:10:00+00:00,851959.87,853445.07,851931.48,853445.07
2026-06-22T02:15:00+00:00,853504.97,854021.67,853222.1,853303.7
2026-06-22T02:20:00+00:00,853245.12,853868.11,852713.83,853362.48
