open_time,open,high,low,close
2025-06-21 19:00:42+00:00,621409.36,621604.26,620935.52,621195.35
2025-06-21 19:15:00+00:00,621199.54,621240.91,620089.6,620111.54
2025-06-21 19:30:00+00:00,620111.88,620473.6,619311.0,620130.81
2025-06-21 19:45:00+00:00,620134.95,620312.51,619363.26,620058.32
2025-06-21 20:00:00+00:00,620077.39,620873.69,619708.99,620386.67
2025-06-21 20:15:00+00:00,620346.14,621504.83,620135.55,620409.41
2025-06-21 20:30:00+00:00,620418.46,620780.55,619608.31,619608.31
2025-06-21 20:45:00+00:00,619593.64,621216.18,619217.01,621145.15
2025-06-21 21:00:00+00:00,621200.84,621869.16,620586.67,620702.36
2025-06-21 21:15:00+00:00,620698.42,621077.55,619367.97,620386.52
2025-06-21 21:30:00+00:00,620355.92,621598.98,620088.15,621483.35
2025-06-21 21:45:00+00:00,621472.35,622656.6,621092.85,622592.31
2025-06-21 22:00:00+00:00,622629.87,623870.55,622620.63,623121.49
2025-06-21 22:15:00+00:00,623078.82,623722.23,622045.78,622367.66
2025-06-21 22:30:00+00:00,622388.0,622698.12,621481.66,622008.74
2025-06-21 22:45:00+00:00,622031.05,622945.3,621708.64,622624.43
2025-06-21 23:00:00+00:00,622642.63,623956.59,622592.38,623666.81
2025-06-21 23:15:00+00:00,623662.33,624068.64,623323.95,623638.62
2025-06-21 23:30:00+00:00,623631.22,624143.98,622770.41,623928.14
2025-06-21 23:45:00+00:00,623941.02,625513.32,623458.26,624306.65
2025-06-22 00:00:00+00:00,624296.81,625080.71,624017.83,624676.05
2025-06-22 00:15:00+00:00,624660.43,626070.71,624455.32,625952.02
2025-06-22 00:30:00+00:00,625994.84,626285.91,625622.91,625968.34
2025-06-22 00:45:00+00:00,626024.19,626234.09,624136.12,624530.66
2025-06-22 01:00:00+00:00,624542.31,625523.75,624347.71,625523.75
2025-06-22 01:15:00+00:00,625503.56,626096.41,625142.75,625904.19
2025-06-22 01:30:00+00:00,625904.81,626476.0,625397.46,625397.46
2025-06-22 01:45:00+00:00,625351.82,626378.7,625237.02,625599.51
2025-06-22 02:00:00+00:00,625592.56,626299.31,625525.09,625642.0
2025-06-22 02:15:00+00:00,625619.01,626362.91,625270.11,625554.92
2025-06-22 02:30:00+00:00,625512.87,625604.5,624877.33,625132.92
2025-06-22 02:45:00+00:00,625125.35,625391.53,623671.7,623800.34
2025-06-22 03:00:00+00:00,623833.65,624131.14,623031.83,623487.34
2025-06-22 03:15:00+00:00,623456.58,623567.29,622406.48,622982.17
2025-06-22 03:30:00+00:00,622994.52,623472.49,622353.28,622660.89
2025-06-22 03:45:00+00:00,622689.21,623217.58,622448.61,622816.45
2025-06-22 04:00:00+00:00,622814.08,624219.5,622454.63,624172.49
2025-06-22 04:15:00+00:00,624153.58,624668.86,623855.7,624031.94
2025-06-22 04:30:00+00:00,624032.62,625050.33,623946.91,624658.64
2025-06-22 04:45:00+00:00,624633.45,625346.96,623857.75,624078.98
2025-06-22 05:00:00+00:00,624050.68,624643.96,623520.79,624436.93
2025-06-22 05:15:00+00:00,624445.49,625945.12,624364.19,625733.73
2025-06-22 05:30:00+00:00,625712.42,626855.54,625088.62,626819.2
2025-06-22 05:45:00+00:00,626820.81,627835.71,626751.42,627189.79
2025-06-22 06:00:00+00:00,627195.06,627287.88,625765.45,626177.85
2025-06-22 06:15:00+00:00,626166.03,626777.42,625271.01,625365.47
2025-06-22 06:30:00+00:00,625358.88,626718.41,625276.07,626612.76
2025-06-22 06:45:00+00:00,626691.11,627576.44,626420.84,626978.81
2025-06-22 07:00:00+00:00,626967.17,627271.28,626364.24,626752.89
2025-06-22 07:15:00+00:00,626745.03,626768.2,625988.73,626651.69
2025-06-22 07:30:00+00:00,626696.03,627284.48,626181.9,626557.25
2025-06-22 07:45:00+00:00,626578.69,627021.38,626299.29,626652.33
2025-06-22 08:00:00+00:00,626652.68,628102.79,626508.75,628042.84
2025-06-22 08:15:00+00:00,628041.73,629333.21,628041.73,629273.03
2025-06-22 08:30:00+00:00,629289.05,630679.66,629115.73,630403.03
2025-06-22 08:45:00+00:00,630400.33,631456.45,629352.52,629441.51
2025-06-22 09:00:00+00:00,629427.83,629848.19,628482.88,628677.45
2025-06-22 09:15:00+00:00,628619.25,629348.98,628054.36,629339.34
2025-06-22 09:30:00+00:00,629311.87,630369.34,629081.44,629822.29
2025-06-22 09:45:00+00:00,629860.74,630978.13,629460.98,630821.98
2025-06-22 10:00:00+00:00,630872.2,631091.42,630031.95,631085.7
2025-06-22 10:15:00+00:00,631030.22,631635.6,630461.18,630881.28
2025-06-22 10:30:00+00:00,630864.0,631104.71,630314.61,630557.63
2025-06-22 10:45:00+00:00,630529.57,630748.22,629604.68,630058.75
2025-06-22 11:00:00+00:00,630067.67,630483.21,628990.94,629315.56
2025-06-22 11:15:00+00:00,629308.1,629517.44,627992.15,628207.03
2025-06-22 11:30:00+00:00,628227.03,628655.21,627739.13,627848.57
2025-06-22 11:45:00+00:00,627864.16,628739.31,627073.65,628726.86
